subslice,acc_top,acc_complement,f1_top,f1_complement,loss_top,loss_complement
315,1.0,1.0,1.0,1.0,0.011749822704587132,0.0064129040110856295
320,1.0,1.0,1.0,1.0,0.009931241220328957,0.006547966360813007
325,1.0,1.0,1.0,1.0,0.010915681545156986,0.006749676074832678
330,1.0,1.0,1.0,1.0,0.009786128532141447,0.006497087859315798
335,1.0,1.0,1.0,1.0,0.009092972002690658,0.006496489484561607
340,1.0,1.0,1.0,1.0,0.009899021359160542,0.006388717447407544
345,1.0,1.0,1.0,1.0,0.01106685632839799,0.006599506887141615
350,1.0,1.0,1.0,1.0,0.009846890345215797,0.006541130627738312
355,1.0,1.0,1.0,1.0,0.00959520076867193,0.006793305685278028
360,1.0,1.0,1.0,1.0,0.009063599834917113,0.006869769684271887
365,1.0,1.0,1.0,1.0,0.009646584134316072,0.0076825556170661
370,1.0,1.0,1.0,1.0,0.008502551121637225,0.006100236700149253
375,1.0,1.0,1.0,1.0,0.008411081100348383,0.007969565340317786
380,1.0,1.0,1.0,1.0,0.00874351803213358,0.007870332599850371
385,1.0,1.0,1.0,1.0,0.007907906867330894,0.00757518014870584
390,1.0,1.0,1.0,1.0,0.008437419513938949,0.008337110688444227
395,1.0,1.0,1.0,1.0,0.007460514083504677,0.007340264826780185
400,1.0,1.0,1.0,1.0,0.00769733774359338,0.009113008505664766
