subslice,acc_top,acc_complement,f1_top,f1_complement,loss_top,loss_complement
122,0.975,1.0,0.9743589743589743,1.0,0.028322361642494798,0.004800289461854845
123,0.975,1.0,0.9743589743589743,1.0,0.02649257646407932,0.005053370347013697
124,1.0,1.0,1.0,1.0,0.025285700568929315,0.004966790525941178
125,0.975,1.0,0.9743589743589743,1.0,0.02658055751817301,0.005213501528487541
126,0.975,1.0,0.9743589743589743,1.0,0.028451715712435544,0.005431958532426506
127,0.975,1.0,0.9743589743589743,1.0,0.02880552870919928,0.005099487287225202
128,0.975,1.0,0.9743589743589743,1.0,0.027265509008429945,0.00473474754835479
129,0.975,1.0,0.9743589743589743,1.0,0.02295477080042474,0.0063844397373031825
130,0.975,1.0,0.9743589743589743,1.0,0.024239963793661445,0.005440685330540873
131,1.0,1.0,1.0,1.0,0.024245509528554976,0.00573495592107065
132,0.975,1.0,0.9743589743589743,1.0,0.02441091457149014,0.005095891887322068
133,0.975,1.0,0.9743589743589743,1.0,0.024850556044839323,0.0056813525734469295
134,0.975,1.0,0.9743589743589743,1.0,0.024694924824871123,0.005534214578801766
135,0.975,1.0,0.9743589743589743,1.0,0.022376723354682326,0.006159687909530476
136,0.975,1.0,0.9743589743589743,1.0,0.02496177307330072,0.005479616724187508
137,0.975,1.0,0.9743589743589743,1.0,0.024076501897070557,0.005730789445806295
138,0.975,1.0,0.9743589743589743,1.0,0.02330506226280704,0.005582704325206578
139,0.975,1.0,0.9743589743589743,1.0,0.02482256363146007,0.006500326766399667
140,0.975,1.0,0.9743589743589743,1.0,0.020804212777875364,0.005380159505875781
141,0.975,1.0,0.9743589743589743,1.0,0.021650832961313426,0.005722581903683022
142,0.975,1.0,0.9743589743589743,1.0,0.02117018587887287,0.005966548924334347
143,0.975,1.0,0.9743589743589743,1.0,0.019644435844384134,0.005720445158658549
144,0.975,1.0,0.9743589743589743,1.0,0.019449978950433433,0.00555447896476835
145,0.975,1.0,0.9743589743589743,1.0,0.02058416069485247,0.005464289395604283
146,0.975,1.0,0.9743589743589743,1.0,0.02374012948712334,0.0057428003929089755
147,0.975,1.0,0.9743589743589743,1.0,0.020339798647910357,0.005564009130466729
148,0.975,1.0,0.9743589743589743,1.0,0.01818766034557484,0.006830610742326826
149,0.975,1.0,0.9743589743589743,1.0,0.020864309510216117,0.006210946768987924
150,0.975,1.0,0.9743589743589743,1.0,0.021975017269141972,0.006108005589339882
151,0.975,1.0,0.9743589743589743,1.0,0.018315691268071532,0.006256037449929863
152,0.975,1.0,0.9743589743589743,1.0,0.020311621541623026,0.006475747853983194
153,0.975,1.0,0.9743589743589743,1.0,0.019457908463664353,0.005913423927268013
154,0.975,1.0,0.9743589743589743,1.0,0.021035095676779747,0.007114042295143008
155,0.975,1.0,0.9743589743589743,1.0,0.021283826150465757,0.0061894216923974454
