subslice,loss_top, f1_top, acc_top, loss_complement, f1_complement, acc_complement,
95,0.138247987022623,1,1,0.00343835754028987,0.9756,0.975,
96,0.128913439577445,1,1,0.00352001475403085,1,1,
97,0.122784761711955,1,1,0.00332593245548196,1,1,
98,0.116549827158451,0.9756,0.975,0.00360341861960478,0.9756,0.975,
99,0.107683716341853,1,1,0.00381224213924724,1,1,
100,0.107203255640342,1,1,0.00338666274910792,1,1,
101,0.102733856532722,1,1,0.00332733971299603,0.9756,0.975,
102,0.105411385884508,1,1,0.00393258390249684,1,1,
103,0.10052931215614,0.9756,0.975,0.00408617948414757,0.9756,0.975,
104,0.100290693342685,0.9756,0.975,0.00345753494912059,1,1,
105,0.0987461227923631,1,1,0.00351749392575584,0.9756,0.975,
106,0.101648668758571,1,1,0.00294412099174223,0.9756,0.975,
107,0.101272848900407,1,1,0.00336550312931649,0.9756,0.975,
108,0.0934580760076642,1,1,0.00324993389949668,0.9744,0.975,
109,0.0920189712196588,0.9756,0.975,0.00366408826084807,1,1,
110,0.0926478209439665,0.9756,0.975,0.00321381087996996,0.9756,0.975,
111,0.093665775610134,0.9756,0.975,0.00361446583701763,0.9756,0.975,
112,0.0895244358107447,1,1,0.00343450088985264,1,1,
113,0.0939700086601078,0.9756,0.975,0.00385089608607813,0.9756,0.975,
114,0.089970164000988,0.9756,0.975,0.00329709410289069,1,1,
115,0.0861832867376506,0.9756,0.975,0.00397774022712837,1,1,
116,0.0768872012849897,0.9756,0.975,0.00339095387607812,0.9756,0.975,
117,0.083072311244905,0.9756,0.975,0.00405933275760617,0.9756,0.975,
118,0.0871027188841253,0.9756,0.975,0.00370148869114927,1,1,
119,0.078631495591253,0.9756,0.975,0.00379665690707042,1,1,
120,0.0817125169560313,0.9756,0.975,0.00332896526379045,1,1,
121,0.0820858457591384,0.9756,0.975,0.00383525718643795,0.9756,0.975,
122,0.0804967361036688,0.9756,0.975,0.00386540168256033,1,1,
123,0.0738604124635458,0.9524,0.95,0.00398507493082433,1,1,
124,0.0761110661551356,0.9524,0.95,0.00395512595423497,1,1,
125,0.0730919153429567,0.9524,0.95,0.00414310900669079,0.9756,0.975,
126,0.0696062485221773,0.9524,0.95,0.00473210681229829,1,1,
127,0.0684770559892058,1,1,0.00367565714986994,0.9756,0.975,
128,0.0661411799956113,0.9756,0.975,0.00319223749102093,1,1,
129,0.0683045648038387,1,1,0.00357280040043406,0.9756,0.975,
130,0.0648240076843649,1,1,0.00346551838447339,0.9756,0.975,
131,0.0683059978764504,0.9756,0.975,0.00333242543274536,0.9756,0.975,
132,0.0731530855409801,1,1,0.00402302900329232,1,1,
133,0.0702858113218098,1,1,0.00319279040559195,0.9756,0.975,
134,0.0703591266646981,0.9756,0.975,0.00374309482867829,0.9756,0.975,
135,0.0692910617217421,0.9756,0.975,0.00421815521258395,0.9756,0.975,
136,0.066190539393574,1,1,0.00363818834011908,0.9756,0.975,
137,0.063778216484934,1,1,0.00385718983307015,0.9756,0.975,
138,0.0644316349644213,1,1,0.00429248907312285,0.9756,0.975,
139,0.0575649593956768,1,1,0.00356856381404213,0.9756,0.975,
140,0.057423937600106,1,1,0.00344306262559257,0.9756,0.975,
141,0.0528441438218578,1,1,0.003727457835339,0.9756,0.975,
142,0.0546121398219838,1,1,0.00396457948954775,0.9756,0.975,
